0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:30:39 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:30:43 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:30:55 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:31:02 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:31:23 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:31:23 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:31:25 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:31:59 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:31:59 +0900] "GET /web02_html5/html/naver.com HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:32:19 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1218
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:32:19 +0900] "GET /web02_html5/html/www.naver.com HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:32:33 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:34:08 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:34:08 +0900] "GET /web02_html5/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:34:23 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:34:49 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:35:15 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:36:10 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:36:10 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:39:47 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:39:47 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:40:54 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:41:20 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:41:37 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:41:59 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:41:59 +0900] "GET /web02_html5/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:41:59 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:11:42:40 +0900] "GET /web02_html5/html/ex03.html HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [07/Jan/2020:12:38:55 +0900] "GET /web02_html5/html/ex05.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [07/Jan/2020:12:38:55 +0900] "GET /web02_html5/html/source.html HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [07/Jan/2020:12:39:08 +0900] "GET /web02_html5/html/ex05.html HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [07/Jan/2020:12:39:17 +0900] "GET /web02_html5/html/ex05.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [07/Jan/2020:12:39:17 +0900] "GET /web02_html5/html/source.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:12:48:35 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [07/Jan/2020:12:48:48 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:05:48 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:05:48 +0900] "GET /web02_html5/image/house.gif HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:05:57 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:05:57 +0900] "GET /web02_html5/image/house.gif HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:06:08 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:06:08 +0900] "GET /web02_html5/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:06:21 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:06:44 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:10:01 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:11:21 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:15:19 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:15:23 +0900] "GET /web02_html5/html/ex04.html?gender=male HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:18:00 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:18:29 +0900] "GET /web02_html5/html/ex04.html? HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:22:39 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:22:51 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:27:14 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:27:14 +0900] "GET /web02_html5/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:27:33 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:28:10 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:29:05 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:30:25 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:32:23 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:33:27 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:43:01 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:43:04 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:43:09 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:43:12 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:44:23 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:45:15 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2318
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:45:20 +0900] "GET /web02_html5/html/ex04.html? HTTP/1.1" 200 2318
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:45:23 +0900] "GET /web02_html5/html/ex04.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:45:48 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2331
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:46:00 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:50:07 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2338
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:50:07 +0900] "GET /web02_html5/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:52:32 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:54:01 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:54:28 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2528
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:55:23 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:58:38 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:58:52 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [07/Jan/2020:13:59:25 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:35:48 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:35:48 +0900] "GET /web02_html5/images/house.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:37:14 +0900] "GET /web02_html5/html/ex04.html HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:43:17 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:45:16 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:45:23 +0900] "POST /web02_html5/html/ex06.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:45:24 +0900] "POST /web02_html5/html/ex06.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:45:25 +0900] "POST /web02_html5/html/ex06.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:45:25 +0900] "POST /web02_html5/html/ex06.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:48:19 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:48:53 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:49:06 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:49:53 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:50:11 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:50:50 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:51:36 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:51:52 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:52:20 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:52:45 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:53:04 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:53:38 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [07/Jan/2020:14:53:59 +0900] "GET /web02_html5/html/ex06.html HTTP/1.1" 200 954
