127.0.0.1 - - [15/Jan/2020:09:15:19 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:15:20 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:15:20 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:24 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:31 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:31 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:32 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:32 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:38 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:38 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:38 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:38 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:39 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:39 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:39 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:39 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:40 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:41 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:41 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:41 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:42 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:42 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:22:42 +0900] "GET /Jquery/html/Ex11_JqueryBasic_Effect.html HTTP/1.1" 304 -
